Certificat de Professionalitat;Descripció ;Hores;NivellEspecialitat;FamProfDescCat;Competències;Descripció de la competència;Durada 
TCPF0010;Tècniques digitals aplicades al disseny de moda. Retoc d'imatge I;30,;1;TÈXTIL, CONFECCIÓ I PELL;;;0,
INAK0110;Indústries de l'oli i greixos comestibles;600,;3;INDÚSTRIA ALIMENTÀRIA;UC0557_3;Programar i gestionar la producció a la indústria alimentària;50,
INAV0109;Fabricació de conserves vegetals;480,;2;INDÚSTRIA ALIMENTÀRIA;UC0293_2;Realitzar les operacions de dosificació, ompliment i tancament de conserves vegetals, sucs i plats cuinats, comprovant que es segueixen els procediments i normes que asseguren la qualitat requerida;60,
ADGN0210;Mediació d'assegurances i reassegurances privades i activitats auxiliars;730,;3;ADMINISTRACIÓ I GESTIÓ;UC1796_3;Assessorar i assistir tècnicament la clientela en la contractació d'assegurances i reassegurances;90,
ADGD0208;Gestió integrada de recursos humans;790,;3;ADMINISTRACIÓ I GESTIÓ;noUC_MP0078;Mòdul de pràctiques professionals no laborals de 'Gestió integrada de recursos humans';120,
IFCD0061;Cloudera. Introducció a Hadoop i Big Data;40,;2;INFORMÀTICA I COMUNICACIONS;;;0,
COML0111;Trànsit de persones viatgeres per carretera;450,;3;COMERÇ I MARQUETING;UC2061_3;Realitzar la gestió administrativa i documental d'operacions de transport de viatgers per carretera;90,
IEXM0409;Excavació subterrània amb explosius;650,;2;INDÚSTRIES EXTRACTIVES;UC0419_2;Realitzar el sosteniment amb quadres, cintres i ancoratges;240,
SANT0025;Atenció psicosocial a pacients amb enfermetats cròniques avançades;12,;3;SANITAT;;;0,
IMAR0409;Planificació, gestió i realització del manteniment i supervisió del muntatge d'instal·lacions de climatització i ventilació-extracció;540,;3;INSTAL·LACIÓ I MANTENIMENT;UC1170_3;Planificar el manteniment d'instal·lacions tèrmiques;70,
ADGD44;Planificació de projectes;50,;2;ADMINISTRACIÓ I GESTIÓ;;;0,
MAPN0712;OPERACIONS PORTUÀRIES DE CÀRREGA, ESTIBA, DESCÀRREGA, DESESTIBA I TRANSBORD;850,;2;MARÍTIM PESQUER;UC1955_2;Manipular mercaderies amb mitjans mecànics en les operacions portuàries de càrrega, estiba, descàrrega, desestiba i transbordament;240,
TMVL0609;Planificació i control de l'àrea de carrosseria;660,;3;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_MP0263;Mòdul de pràctiques professionals no laborals;40,
IEXM0210;Excavació subterrània mecanitzada dirigida de petita secció;470,;2;INDÚSTRIES EXTRACTIVES;UC1384_2;Realitzar espais subterranis amb equips de perforació i mandrinatge: Raise Boring;90,
IEXD0109;Disseny i coordinació de projectes en pedra natural;730,;3;INDÚSTRIES EXTRACTIVES;UC0868_3;Programar i supervisar la col·locació d'elements de pedra natural;120,
COML01;Màrqueting digital & e-commerce per a l'automoció;130,;3;COMERÇ I MARQUETING;noUC_coml01;;12,
EOCB0108;Fàbriques de maçoneria;490,;2;EDIFICACIÓ I OBRA CIVIL;UC0142_1;Construir fàbriques per revestir;120,
AFDA0310;Activitats de natació;750,;3;ACTIVITATS FÍSIQUES I ESPORTIVES;UC1085_3;Dirigir l'aprenentatge i el condicionamento físic bàsic en activitats de natació;150,
FCOI21;Resolució de problemes a l'entorn digital. Nivell bàsic;40,;1;FORMACIÓ COMPLEMENTARIA;noUC_fcoi21;;10,
MAPN0410;Operacions de transport marítim i pesca litoral;630,;2;MARÍTIM PESQUER;UC0540_2;Organitzar i controlar la seguretat, lluita contra incendis i les emergències a bord;70,
ENAE0508;Organització i projectes d'instal·lacions solars fotovoltaiques;630,;3;ENERGIA I AIGUA;UC0842_3;Determinar la viabilitat de projectes d'instal·lacions solars;120,
QUIE0108;Operacions bàsiques en planta química;610,;2;QUÍMICA;UC0045_2;Realitzar operacions de procés químic.;150,
ELEQ0311;Manteniment d'equips electrònics;680,;3;ELECTRICITAT I ELECTRÒNICA;noUC_MP0448;Mòdul de pràctiques professionals no laborals de 'Manteniment d'equips electrònics';80,
TCPC0112;Patronatge de calçat i marroquineria;750,;3;TÈXTIL, CONFECCIÓ I PELL;UC0474_3;Analitzar matèries primeres, productes i processos de confecció, calçat i marroquineria;150,
ELES0209;Muntatge i manteniment de sistemes de telefonia i infraestructures de xarxes locals de dades;420,;2;ELECTRICITAT I ELECTRÒNICA;noUC_MP0232;Mòdul de pràctiques professionals no laborals de 'Muntatge i manteniment de sistemes de telefonia i infraestructures de xarxes locals de dades';80,
AGAR0110;Gestió d'aprofitaments forestals;630,;3;AGRÀRIA;UC1488_3;Gestionar els aprofitaments forestals no fusters;180,
FMEM0309;Disseny d'eines de processat de xapa;680,;3;FABRICACIÓ MECÀNICA;UC0109_3;Automatizar els processos operatius dels estris de processament de xapa;210,
AGAR0211;Gestió dels aprofitaments cinegeticopiscícoles;740,;3;AGRÀRIA;UC0730_3;Gestionar la maquinària, equips i instal·lacions de l'explotació forestal;110,
IFCD48;Programació de xarxes neuronals - Machine learning;170,;3;INFORMÀTICA I COMUNICACIONS;noUC_ifcd48;-;50,
AGAR0110;Gestió d'aprofitaments forestals;630,;3;AGRÀRIA;noUC_MP0363;Mòdul de pràctiques professionals no laborals de 'Gestió d'aprofitaments forestals';80,
ENAE0009;Preparació i justificació de subvencions per a la instal·lació d'energia renovable;30,;2;ENERGIA I AIGUA;;;0,
IFCM0110;Operació en sistemes de comunicacions de veu i dades;550,;2;INFORMÀTICA I COMUNICACIONS;UC0956_2;Realitzar els processos de connexió entre xarxes privades i xarxes públiques;150,
ELES02;Instal·lació i Integració de Sistemes IOT en Edificis Intel·ligents;125,;3;ELECTRICITAT I ELECTRÒNICA;;;0,
SANT0046;Eines per a la millora de la seguretat de pacients;10,;3;SANITAT;;;0,
IFCT0410;Administració i disseny de xarxes departamentals;610,;3;INFORMÀTICA I COMUNICACIONS;UC0229_3;Coordinar la implantación de la infraestructura de xarxa telemàtica;120,
ELEE0610;Gestió i supervisió del muntatge i manteniment de xarxes elèctriques de baixa tensió i enllumenat exterior;620,;3;ELECTRICITAT I ELECTRÒNICA;UC1275_3;Planificar i gestionar el muntatge i manteniment de xarxes elèctriques de baixa tensió i enllumenat exterior;180,
ADGN0110;Gestió comercial i tècnica d'assegurances i reassegurances privades;730,;3;ADMINISTRACIÓ I GESTIÓ;UC2181_2;Tramitar els expedients de sinistres;50,
IEXD0308;Operacions auxiliars en plantes d'elaboració pedra natural i tractament i benefici mineral i roca;340,;1;INDÚSTRIES EXTRACTIVES;UC0859_1;"??Manipular blocs, bitlles i ""rachones"" de pedra natural";70,
TCPP0712;Teixidura de punt per trama o recollida;610,;2;TÈXTIL, CONFECCIÓ I PELL;UC0895_2;Preparar màquines tricotoses i màquines de teixir Cotton per produir teixits i peces;220,
HOTR0208;Operacions bàsiques de restaurant i bar;290,;1;HOSTALERIA I TURISME;UC0258_1;Executar operacions bàsiques d'aprovisionament, i preparar i presentar begudes senzilles i menjars ràpids.;120,
IEXM0310;Excavació subterrània mecanitzada a secció completa amb tuneladores;590,;3;INDÚSTRIES EXTRACTIVES;UC1395_3;Realitzar l'excavació amb tuneladores de roques;210,
